"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests
World,"689,218,764","+20,445","6,882,152",+35,"661,600,176","+24,906","20,736,436","38,217","88,420",882.9,
USA,"107,066,662",,"1,164,718",,"105,111,308",,"790,636","1,078","319,788","3,479","1,180,192,130"
India,"44,988,426",,"531,854",,"44,450,404",,"6,168",N/A,"31,983",378,"929,823,259"
France,"40,066,346",,"167,207",,"39,840,074",,"59,065",869,"610,912","2,549","271,490,188"
Germany,"38,425,176",,"174,170",,"38,233,500","+1,100","17,506",N/A,"458,077","2,076","122,332,384"
Brazil,"37,579,028",,"702,664",,"36,249,161",,"627,203",N/A,"174,499","3,263","63,776,166"
Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,83,"269,169",595,"100,414,883"
S. Korea,"31,611,509","+19,080","34,736",+17,"31,243,027","+14,725","333,746",173,"615,850",677,"15,804,065"
Italy,"25,842,595",,"190,242",,"25,528,203",,"124,150",83,"428,832","3,157","272,336,790"
UK,"24,603,076",,"225,324",,"24,359,748","+1,655","18,004",N/A,"359,180","3,290","522,526,476"
Russia,"22,917,873",,"398,919",,"22,346,830",,"172,124",N/A,"157,181","2,736","273,400,000"
Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,,"201,399","1,194","162,743,369"
Spain,"13,845,825",,"120,964",,"13,681,014",,"43,847",231,"296,363","2,589","471,036,328"
Vietnam,"11,606,479",,"43,205",,"10,636,434",,"926,840",57,"117,292",437,"85,826,548"
Australia,"11,543,887",,"20,660",,"11,488,902",,"34,325",58,"442,824",793,"81,916,639"
Taiwan,"10,239,998",,"19,005",,"10,220,993",,0,,"428,656",796,"30,742,304"
Argentina,"10,054,251",,"130,509",,"9,922,301",,"1,441",363,"218,522","2,837","35,716,069"
Netherlands,"8,610,372",,"22,992",,"8,587,380",,0,53,"500,270","1,336","25,984,435"
Mexico,"7,614,771","+1,361","334,107",+18,"6,861,981","+1,156","418,683",N/A,"57,879","2,540","20,013,810"
Iran,"7,611,444",,"146,249",,"7,365,218",,"99,977",197,"88,482","1,700","56,621,262"
Indonesia,"6,804,290",,"161,715",,"6,628,793",,"13,782",N/A,"24,376",579,"114,158,919"
Poland,"6,516,516",,"119,603",,"5,335,940",,"1,060,973",223,"172,670","3,169","38,724,098"
Colombia,"6,367,600",,"142,748",,"6,188,967",,"35,885",342,"123,612","2,771","36,951,507"
Austria,"6,075,459",,"22,495",,"6,047,019",,"5,945",14,"670,084","2,481","211,273,524"
Greece,"6,059,649",,"36,917",,"5,999,622","+5,354","23,110",115,"587,367","3,578","102,228,365"
Portugal,"5,585,859",,"26,701",,"5,554,918",,"4,240",61,"550,843","2,633","46,120,142"
Ukraine,"5,544,969",,"112,271",,"5,426,086",,"6,612",,"128,379","2,599","32,603,805"
Chile,"5,287,052",,"64,497",,"5,222,386",,169,34,"274,649","3,350","49,621,063"
Malaysia,"5,094,448",,"37,070",,"5,038,256",,"19,122",36,"153,535","1,117","68,352,292"
Israel,"4,825,362",,"12,524",,"4,798,473",,"14,365",21,"517,410","1,343","41,373,364"
Belgium,"4,798,041",,"34,310",,"4,757,889",+409,"5,842",43,"411,204","2,940","37,018,657"
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,
Thailand,"4,738,988",,"34,053",,"4,692,636",,"12,299",N/A,"67,624",486,"17,270,775"
Canada,"4,673,256",,"52,359",,"4,589,000",,"31,897",99,"121,736","1,364","66,343,123"
Czechia,"4,641,802",,"42,797",,"4,597,976",,"1,029",2,"432,327","3,986","57,206,771"
Peru,"4,505,466",,"220,526",,"4,284,465",+227,475,26,"133,756","6,547","38,548,796"
Switzerland,"4,405,433",,"14,452",,"4,386,927",,"4,054",39,"502,122","1,647","23,833,472"
Philippines,"4,131,790",,"66,466",,"4,049,731",,"15,593",162,"36,724",591,"35,205,895"
South Africa,"4,076,463",,"102,595",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090"
Romania,"3,402,356",,"68,172",,"3,329,193",,"4,991",90,"178,777","3,582","27,242,332"
Denmark,"3,181,706",,"8,676",,"3,172,422",,608,6,"545,284","1,487","129,282,796"
Hong Kong,"2,901,938",,"13,756",,"2,873,305",,"14,877",28,"381,618","1,809","76,127,725"
Sweden,"2,709,056",,"24,291",,"2,682,021",+177,"2,744",8,"265,101","2,377","19,500,873"
Serbia,"2,540,769",,"18,049",,"2,518,743",,"3,977",5,"293,628","2,086","12,904,073"
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451"
Singapore,"2,391,248",,"1,727",,"2,149,583",,"239,938",2,"402,327",291,"24,756,666"
New Zealand,"2,362,225",,"4,346",,"2,346,101",,"11,778",,"482,264",887,"7,768,604"
Hungary,"2,202,716",,"48,868",,"2,151,299",,"2,549",5,"229,300","5,087","11,394,556"
Bangladesh,"2,038,708",,"29,446",,"1,998,448",,"10,814",N/A,"12,143",175,"15,254,399"
Slovakia,"1,866,814",,"21,167",,"1,845,480",,167,11,"341,895","3,877","7,431,619"
Georgia,"1,842,046",,"17,070",,"1,776,548",,"48,428",,"464,139","4,301","16,920,079"
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885"
Ireland,"1,711,233",,"8,905",,"1,700,800",,"1,528",19,"340,870","1,774","13,083,449"
Pakistan,"1,580,967",,"30,660",,"1,538,689",,"11,618",7,"6,889",134,"30,571,377"
Norway,"1,484,448",,"5,435",,"1,478,019",,994,20,"269,343",986,"11,002,430"
Finland,"1,478,305",,"9,589",,"1,465,244",+155,"3,472",21,"266,123","1,726","12,096,961"
Kazakhstan,"1,411,831",,"13,848",,"1,383,020",,"14,963",24,"73,514",721,"11,575,012"
Slovenia,"1,343,874",,"7,100",,"1,328,006",,"8,768",8,"646,705","3,417","2,847,701"
Lithuania,"1,320,116",,"9,680",,"1,309,111",,"1,325",3,"495,966","3,637","10,449,829"
Bulgaria,"1,307,017",,"38,373",,"1,266,631",,"2,013",34,"190,956","5,606","11,225,138"
Morocco,"1,274,180",,"16,297",,"1,256,151",,"1,732",3,"33,733",431,"13,001,033"
Croatia,"1,273,671",,"18,246",,"1,255,129",,296,6,"313,767","4,495","5,599,458"
Guatemala,"1,251,570",,"20,200",,"1,229,259",,"2,111",5,"67,347","1,087","7,316,750"
Lebanon,"1,237,556",,"10,914",,"1,087,587",,"139,055",74,"185,128","1,633","4,795,578"
Costa Rica,"1,230,552",,"9,366",,"860,711",,"360,475",52,"237,450","1,807","4,659,757"
Bolivia,"1,198,486",,"22,383",,"1,167,833",,"8,270",220,"99,935","1,866","2,710,261"
Tunisia,"1,153,261",,"29,415",,N/A,N/A,N/A,44,"95,733","2,442","5,012,458"
Cuba,"1,113,960",,"8,530",,"1,105,247",,183,2,"98,531",754,"14,345,279"
UAE,"1,067,030",,"2,349",,"1,054,525",,"10,156",,"105,837",233,"200,732,262"
Ecuador,"1,061,766",,"36,019",,"1,025,081",,666,759,"58,618","1,989","3,082,403"
Uruguay,"1,038,774",,"7,634",,"1,030,944",,196,18,"297,131","2,184","6,114,822"
Panama,"1,038,642",,"8,623",,"1,029,434",,585,16,"233,562","1,939","7,680,683"
Mongolia,"1,008,655",,"2,179",,"1,005,859",,617,192,"298,588",645,"4,030,048"
Nepal,"1,003,316",,"12,031",,"991,232",,53,,"33,194",398,"6,044,314"
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641"
Latvia,"977,891",,"6,344",,"971,406",,141,13,"528,922","3,431","7,875,835"
